Site,Plot #,Treatment,Harvest date,harvest time,mesh?,date into oven,tin weight,tin weight + soil into oven,soil + tin out of oven,wt of soil for extraction,wet soil,dry soil,dry:wet,dry emh soil,intersections,external hyphae (g/m),Small,Large,Non,small m/g,large m/g,non am m/g
PJ,33,C,H3,108,y,7.23.13,2.616,7.012,6.98,3.004,4.396,4.364,0.9927206551,2.982132848,20,0.4610793919,10,10,3,0.2305396959,0.2305396959,0.0691619088
PP,31,C,H3,108,y,7.23.13,2.469,6.777,6.75,3.004,4.308,4.281,0.9937325905,2.9851727019,74,1.7042565064,50,24,73,1.1515246665,0.5527318399,1.6812260131
PP,32,C,H3,108,y,7.23.13,2.44,7.974,7.955,3.003,5.534,5.515,0.9965666787,2.9926897362,67,1.5391672395,30,37,109,0.689179361,0.8499878785,2.5040183449
PP,33,C,H3,108,y,7.23.13,2.479,7.685,7.655,3.004,5.206,5.176,0.9942374184,2.9866892048,101,2.3248987504,60,41,69,1.3811279705,0.9437707799,1.5882971661
GL,,C,H4,148,n,5.29.13,2.667,7.102,6.76,3.006,4.435,4.093,0.922886133,2.7741957159,17,0.4212932755,15,2,24,0.3717293607,0.0495639148,0.5947669772
GL,,M,H4,148,n,5.29.13,2.676,7.492,7.2,3.008,4.816,4.524,0.9393687708,2.8256212625,16,0.3892949188,11,5,16,0.2676402567,0.1216546621,0.3892949188
GL,,P,H4,148,n,5.29.13,2.763,7.407,7.116,3.013,4.644,4.353,0.9373385013,2.8242009044,18,0.4381770426,12,6,10,0.2921180284,0.1460590142,0.2434316903
PJ,,C,H4,148,n,5.30.13,2.701,6.619,6.37,3,3.918,3.669,0.9364471669,2.8093415008,70,1.7130348869,46,24,34,1.12570864,0.5873262469,0.8320455165
PJ,,M,H4,148,n,5.30.13,2.438,6.45,6.183,3,4.012,3.745,0.933449651,2.8003489531,64,1.5712327548,51,13,28,1.2520761015,0.3191566533,0.6874143302
PJ,,P,H4,148,n,5.30.13,2.474,6.095,5.945,3.001,3.621,3.471,0.9585749793,2.8766835128,56,1.3383467395,48,8,29,1.1471543481,0.1911923914,0.6930724187
PP,,C,H4,148,n,6.3.13,2.59,6.492,6.213,3.009,3.902,3.623,0.928498206,2.793851102,96,2.3623306179,67,29,23,1.6487099104,0.7136207075,0.5659750439
PP,,M,H4,148,n,6.3.13,2.654,6.836,6.516,3.005,4.182,3.862,0.9234815878,2.7750621712,121,2.9976805876,86,35,18,2.130582897,0.8670976906,0.4459359552
PP,,P,H4,148,n,6.3.13,2.496,6.381,6.238,3.01,3.885,3.742,0.9631917632,2.8992072072,80,1.8970703392,58,22,32,1.3753759959,0.5216943433,0.7588281357
GL,34,C,H4,148,y,7.23.13,2.546,5.973,5.957,3.005,3.427,3.411,0.9953311935,2.9909702364,85,1.953797443,64,21,43,1.4710945453,0.4827028977,0.9883916477
GL,35,C,H4,148,y,7.23.13,2.497,6.381,6.358,3.006,3.884,3.861,0.9940782698,2.9881992791,98,2.2547023711,43,55,12,0.9893081833,1.2653941879,0.2760860046
GL,36,C,H4,148,y,7.23.13,2.634,5.933,5.915,3.001,3.299,3.281,0.9945438012,2.9846259473,53,1.2208397516,28,25,3,0.6449719442,0.5758678073,0.0691041369
PJ,34,C,H4,148,y,7.25.13,2.627,7.015,6.997,3.004,4.388,4.37,0.9958979034,2.9916773017,76,1.7465118972,48,28,7,1.1030601456,0.6434517516,0.1608629379
PJ,35,C,H4,148,y,7.25.13,2.567,7.189,6.535,3,4.622,3.968,0.8585028126,2.5755084379,70,1.868563088,25,45,0,0.66734396,1.201219128,0
PJ,36,C,H4,148,y,7.25.13,2.549,6.097,6.078,3.001,3.548,3.529,0.9946448703,2.9849292559,41,0.944327238,25,16,6,0.5758092915,0.3685179466,0.13819423
PP,34,C,H4,148,y,7.25.13,2.606,6.653,6.626,3.001,4.047,4.02,0.9933283914,2.9809785026,37,0.853327187,35,2,39,0.8072013931,0.0461257939,0.8994529808
PP,35,C,H4,148,y,7.25.13,2.49,7.257,7.209,3,4.767,4.719,0.9899307741,2.9697923222,89,2.0603292541,48,41,16,1.1111888112,0.9491404429,0.3703962704
PP,36,C,H4,148,y,7.25.13,2.595,7.098,7.045,3,4.503,4.45,0.9882300688,2.9646902065,26,0.6029297753,14,12,13,0.3246544944,0.2782752809,0.3014648876
