OTUs	PJset	GLCH4	GLH1	GLset	PJCH3	GLCH2	GLCH3	PJCH4	PPCH4	PPCH2	PPH1	PPset	PJH1	PJCH2
SH202538.06FU_HQ215817_reps	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
SH190499.06FU_AY943045_reps	0.0	3.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SH194382.06FU_DQ182424_reps	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SH222045.06FU_AY615207_reps	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0
SH235614.06FU_EU480250_reps	2.0	1.0	0.0	0.0	0.0	5.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SH234292.06FU_AY755613_reps	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	2.0	1.0	20.0	1.0	0.0	1.0
SH207100.06FU_EU479947_reps	45.0	43.0	359.0	18.0	7.0	5.0	6.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0
SH214837.06FU_JX975876_reps	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	3.0	1.0	4.0	0.0	0.0
SH209712.06FU_EU909219_reps	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	4.0
SH255286.06FU_GU237732_refs	13.0	58.0	20.0	63.0	31.0	34.0	30.0	4.0	2.0	0.0	0.0	0.0	4.0	2.0
SH196604.06FU_JX982370_reps	0.0	3.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	2.0
SH239989.06FU_FJ552903_reps	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	32.0	0.0	0.0	0.0
SH197553.06FU_HQ608027_reps	0.0	14.0	0.0	2.0	12.0	1.0	3.0	9.0	62.0	0.0	0.0	0.0	2.0	0.0
SH198465.06FU_EU144513_reps	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0
SH202162.06FU_JN578623_reps	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SH212841.06FU_EU516741_reps	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.0	0.0	0.0
SH203829.06FU_FJ005110_reps	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	1.0	0.0	0.0	0.0	0.0
SH219664.06FU_EF543844_reps	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
SH222049.06FU_HG328049_reps	0.0	0.0	1.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SH196750.06FU_EF679363_refs	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
SH234961.06FU_HM239908_reps	0.0	25.0	32.0	4.0	1.0	8.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SH216932.06FU_KF385331_reps	2.0	0.0	0.0	0.0	6.0	0.0	0.0	1.0	3.0	1.0	0.0	0.0	4.0	3.0
SH217023.06FU_HQ184960_reps	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0
SH213474.06FU_HE814155_reps	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0
SH240716.06FU_JX984797_reps	0.0	61.0	13.0	1.0	0.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
SH214961.06FU_AY781217_reps	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
SH206402.06FU_JQ301894_refs	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
SH230612.06FU_EF159518_reps	103.0	0.0	0.0	0.0	266.0	0.0	1.0	7.0	4.0	2.0	0.0	3.0	4.0	6.0
SH222760.06FU_FJ824624_reps	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SH224789.06FU_FJ210474_reps	26.0	3.0	5.0	1.0	11.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	6.0
SH222044.06FU_JX489802_reps	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	1.0	2.0	0.0	0.0	0.0
SH228362.06FU_FN391349_reps	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
SH214844.06FU_JX975854_reps	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
SH229248.06FU_JN886793_reps	4.0	1.0	2.0	1.0	1.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
SH196197.06FU_HQ634615_reps	0.0	16.0	3.0	0.0	3.0	9.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SH198524.06FU_FJ611955_reps	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SH239736.06FU_HG327875_reps	2.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	1.0	6.0	0.0	0.0	2.0	0.0
SH240289.06FU_EU516814_reps	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0
SH226454.06FU_JQ760218_reps	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SH219458.06FU_KC427033_reps	10.0	36.0	11.0	0.0	9.0	4.0	3.0	6.0	4.0	61.0	0.0	5.0	0.0	1.0
SH201074.06FU_EU427295_reps	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
SH234934.06FU_JX280828_reps	0.0	36.0	22.0	10.0	1.0	57.0	6.0	18.0	7.0	26.0	4.0	0.0	15.0	14.0
SH253769.06FU_DQ780379_refs	201.0	5.0	0.0	0.0	56.0	0.0	0.0	81.0	3.0	14.0	5.0	44.0	6.0	13.0
SH205322.06FU_AJ518880_refs	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0
SH189952.06FU_JF449510_reps	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SH211529.06FU_EU479750_reps	0.0	0.0	0.0	1.0	0.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0
SH238737.06FU_FN397423_reps	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SH190475.06FU_AY465442_reps	2.0	4.0	2.0	0.0	5.0	1.0	0.0	0.0	0.0	2.0	2.0	0.0	0.0	1.0
SH204174.06FU_FJ553224_reps	10.0	0.0	0.0	0.0	16.0	0.0	0.0	7.0	22.0	19.0	11.0	22.0	8.0	2.0
SH213979.06FU_EU784231_reps	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SH217783.06FU_FM172762_reps	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
SH217338.06FU_GU721363_reps	1.0	1.0	0.0	0.0	6.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
SH217404.06FU_AB587002_reps	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SH208273.06FU_EF160066_reps	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	1.0	4.0	7.0	0.0	0.0
SH225153.06FU_FN397253_reps	10.0	16.0	5.0	0.0	144.0	9.0	3.0	5.0	0.0	0.0	0.0	0.0	58.0	17.0
SH222039.06FU_JX982440_reps	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0
SH219002.06FU_KF385283_reps	64.0	0.0	0.0	0.0	24.0	0.0	0.0	4.0	0.0	9.0	14.0	4.0	24.0	30.0
SH221764.06FU_AY969882_reps	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0
SH203605.06FU_DQ508803_reps	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0	0.0	2.0	5.0	0.0	0.0
SH196961.06FU_AF444379_refs	3.0	0.0	0.0	0.0	5.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
SH204514.06FU_AM495180_reps	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
SH261281.06FU_JN686435_refs	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
SH202145.06FU_GU237760_refs	0.0	0.0	0.0	40.0	0.0	1.0	1.0	3.0	0.0	0.0	0.0	0.0	0.0	1.0
SH240389.06FU_JQ409292_reps	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0
SH230191.06FU_JQ797584_reps	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	4.0	1.0	0.0	0.0
SH190508.06FU_JF300388_reps	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SH226444.06FU_JQ904603_reps	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SH224832.06FU_AF163090_reps	4.0	1.0	0.0	0.0	5.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0
SH224821.06FU_AY372674_reps	20.0	2.0	2.0	0.0	2.0	1.0	0.0	0.0	0.0	0.0	2.0	0.0	2.0	4.0
SH202664.06FU_FJ897233_reps	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
SH222768.06FU_GQ255696_reps	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SH239097.06FU_FJ613038_reps	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
SH219634.06FU_HQ649874_reps	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0
SH196686.06FU_KC785559_reps	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
SH234981.06FU_JF440592_reps	17.0	1.0	0.0	0.0	16.0	0.0	8.0	0.0	3.0	0.0	1.0	1.0	1.0	1.0
SH230202.06FU_JX042986_reps	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
SH227390.06FU_DQ092526_reps	1.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0
SH202509.06FU_DQ150130_reps	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	1.0	0.0	0.0	0.0
SH217607.06FU_KC785560_reps	51.0	4.0	10.0	9.0	21.0	4.0	12.0	5.0	3.0	1.0	1.0	1.0	6.0	14.0
SH195036.06FU_EF592087_reps	22.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.0	43.0	3.0	21.0	1.0	0.0
SH212098.06FU_DQ420917_reps	339.0	123.0	0.0	1475.0	5.0	0.0	81.0	9.0	0.0	18.0	0.0	1.0	0.0	4.0
SH214845.06FU_JX975949_reps	2.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	5.0	1.0	1.0	2.0	0.0
SH105541.06FU_FJ150897_refs	30.0	22.0	26.0	4.0	4.0	4.0	5.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0
SH235721.06FU_KF206525_reps	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SH213190.06FU_AF037431_refs	1.0	1.0	9.0	0.0	10.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0
SH196335.06FU_FJ882030_reps	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0
SH204533.06FU_FJ362311_reps	0.0	2.0	0.0	0.0	2.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
SH240715.06FU_EU479757_reps	1.0	23.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SH236515.06FU_DQ117437_reps	13.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	2.0	0.0	5.0	2.0	2.0
SH235280.06FU_EU707572_reps	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	8.0
SH228960.06FU_JQ846086_reps	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
SH211067.06FU_EF635743_reps	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	1.0	0.0	4.0	0.0	0.0
SH225151.06FU_AY261369_reps	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
SH203602.06FU_JN102374_reps	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	4.0	6.0	0.0	0.0
SH234979.06FU_JX130360_reps	0.0	31.0	14.0	0.0	23.0	5.0	14.0	12.0	5.0	1.0	3.0	2.0	4.0	2.0
SH240612.06FU_FJ648199_reps	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
SH217399.06FU_JF300412_reps	2.0	1.0	0.0	0.0	12.0	1.0	2.0	3.0	0.0	1.0	0.0	1.0	0.0	0.0
SH207637.06FU_AF153785_reps	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
SH195988.06FU_KC965564_reps	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
SH113848.06FU_AY078145_refs	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	3.0	12.0	0.0	0.0	0.0
SH225363.06FU_EF373564_reps	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
SH223600.06FU_EU479934_reps	0.0	343.0	13.0	26.0	1.0	23.0	57.0	0.0	0.0	28.0	0.0	0.0	0.0	7.0
SH224795.06FU_DQ489291_reps	12.0	3.0	1.0	0.0	21.0	2.0	0.0	1.0	0.0	1.0	0.0	2.0	1.0	2.0
SH224901.06FU_KC584218_reps	1.0	0.0	2.0	1.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
