# Constructed from biom file
#OTU ID	PJCH3	PJset	PPCH2	PPCH4	GLCH4	PJCH4	PPset	PPH1	GLCH2	PJCH2	GLset	PJH1	GLH1	GLCH3
New.ReferenceOTU6187	19.0	8.0	38.0	14.0	0.0	0.0	26.0	11.0	0.0	0.0	2.0	0.0	0.0	2.0
New.ReferenceOTU6188	0.0	11.0	1.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0
New.ReferenceOTU3246	0.0	7.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
New.ReferenceOTU3240	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
New.ReferenceOTU4233	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
New.ReferenceOTU4235	4.0	39.0	5.0	0.0	0.0	0.0	1.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0
New.ReferenceOTU4238	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
New.ReferenceOTU4584	2.0	3.0	3.0	3.0	0.0	1.0	7.0	9.0	0.0	2.0	0.0	0.0	0.0	0.0
New.ReferenceOTU4585	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	14.0	0.0	0.0	0.0	2.0
New.ReferenceOTU1062	0.0	3.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
New.ReferenceOTU1060	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
New.ReferenceOTU1061	0.0	5.0	0.0	0.0	9.0	0.0	0.0	0.0	1.0	0.0	2.0	0.0	0.0	1.0
New.ReferenceOTU5988	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0
New.ReferenceOTU5185	26.0	6.0	5.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
New.ReferenceOTU5186	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0
New.ReferenceOTU5188	0.0	0.0	5.0	3.0	0.0	0.0	5.0	20.0	0.0	0.0	0.0	0.0	0.0	0.0
New.ReferenceOTU5368	0.0	5.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
New.ReferenceOTU5365	0.0	1.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
New.ReferenceOTU5367	33.0	2.0	1.0	3.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0
New.ReferenceOTU5366	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
New.ReferenceOTU5361	2.0	14.0	0.0	0.0	1.0	0.0	1.0	0.0	2.0	0.0	0.0	0.0	0.0	3.0
New.ReferenceOTU5362	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
New.ReferenceOTU454	0.0	1.0	0.0	0.0	0.0	0.0	3.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
New.ReferenceOTU109	14.0	8.0	0.0	0.0	3.0	0.0	0.0	0.0	2.0	6.0	3.0	0.0	24.0	10.0
New.ReferenceOTU450	3.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
New.ReferenceOTU452	0.0	7.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
New.ReferenceOTU101	0.0	15.0	0.0	0.0	10.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
New.ReferenceOTU100	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	3.0	0.0	3.0	0.0	3.0	25.0
New.ReferenceOTU458	9.0	7.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	14.0	0.0	2.0	0.0	0.0
New.ReferenceOTU104	2.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	1.0	0.0	1.0	3.0
New.ReferenceOTU2320	76.0	599.0	13.0	11.0	174.0	18.0	8.0	4.0	33.0	30.0	37.0	23.0	225.0	135.0
New.ReferenceOTU2321	0.0	16.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
New.ReferenceOTU2322	0.0	5.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
New.ReferenceOTU2325	2.0	2.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
New.ReferenceOTU3749	0.0	0.0	2.0	2.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
New.ReferenceOTU3039	0.0	1.0	0.0	0.0	0.0	0.0	1.0	4.0	0.0	0.0	0.0	2.0	0.0	0.0
New.ReferenceOTU3038	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.0	0.0
New.ReferenceOTU3743	0.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
New.ReferenceOTU6046	1.0	0.0	0.0	4.0	1.0	1.0	1.0	4.0	0.0	0.0	0.0	1.0	0.0	0.0
New.ReferenceOTU6041	5.0	3.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
New.ReferenceOTU3032	4.0	5.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0
New.ReferenceOTU3746	0.0	4.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
New.ReferenceOTU4441	7.0	13.0	19.0	3.0	0.0	0.0	2.0	4.0	0.0	6.0	0.0	5.0	0.0	0.0
