Taxon	GLCH2	GLCH3	GLCH4	GLH1	GLset	PJCH2	PJCH3	PJCH4	PJH1	PJset	PPCH2	PPCH4	PPH1	PPset
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Incertae_sedis;g__Phoma;Other	0.0264491955036	0.0197031039136	0.0238491403217	0.0142530353686	0.0162525686531	0.00985792983473	0.00703645482446	0.00707547169811	0.00274809160305	0.00253953042645	0.00131752305665	0.000246487552379	0.0	0.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Incertae_sedis;g__Phoma;s__Phoma_paspali	0.0	0.0	0.0	0.0	0.0	0.000579878225573	7.48559023879e-05	0.00192967409949	0.0	0.0164350742693	0.00737812911726	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Leptosphaeriaceae;g__Neosetophoma;s__Neosetophoma_samarorum	0.0	0.00134952766532	0.000554631170272	0.000351926799226	0.000560433401831	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Lophiostomataceae;g__Lophiostoma;Other	0.0	0.0	0.000369754113515	0.0	0.0	0.0	0.0	0.0	0.0	4.79156684236e-05	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Lophiostomataceae;g__Lophiostoma;s__Lophiostoma_compressum	0.00110204981265	0.0	0.00221852468109	0.0	0.000934055669718	0.0	0.000673703121491	0.0	0.0	4.79156684236e-05	0.0131752305665	0.0	0.0	0.0150973381009
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Montagnulaceae;g__Paraconiothyrium;Other	0.00132245977518	0.00188933873144	0.00221852468109	0.000703853598452	0.000560433401831	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Phaeosphaeriaceae;Other;Other	0.00110204981265	0.0137651821862	0.00924385283786	0.000351926799226	0.00467027834859	0.000289939112786	0.000823414926267	0.0130789022298	0.00030534351145	0.014710110206	0.000263504611331	0.00147892531427	0.000599520383693	0.000198649185538
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Phaeosphaeriaceae;g__Neostagonospora;s__Neostagonospora_elegiae	0.00198368966277	0.00728744939271	0.0329081161028	0.00228752419497	0.000934055669718	0.0	0.00127255034059	0.000214408233276	0.0	0.00253953042645	0.000527009222661	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Phaeosphaeriaceae;g__Ophiosphaerella;s__Ophiosphaerella_korrae	0.0	0.0	0.0	0.0	0.0	0.0	0.00194625346209	0.0	0.0	0.000287494010541	0.00131752305665	0.000246487552379	0.0	0.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Phaeosphaeriaceae;g__Phaeosphaeria;s__Phaeosphaeria_avenaria	0.0	0.0	0.00064706969865	0.000175963399613	0.0	0.0063786604813	0.00845871696983	0.00471698113208	0.0	0.0275035936751	0.0	0.0	0.0	0.0
